2216;7;тебЯ;’›;SPRO sg 2p - acc;;;Я;б;е;т;;;SPRO;’›;SPRO sg 2p - acc
2217;8;планы;Џ‹ЂЌ;S m inan acc pl;;;ы;н;а;л;п;;S;Џ‹ЂЌ;S m inan acc pl
2218;9;на;ЌЂ;PR;;;а;н;;;;;PR;ЌЂ;PR
2219;10;пенсию;Џ…Ќ‘€џ;S f inan acc sg;;;ю;и;с;н;е;п;S;Џ…Ќ‘€џ;S f inan acc sg
2220;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2221;12;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ
2222;13;хочешь;•Ћ’…’њ;V ipf praes sg indic - 2p;;;ь;ш;е;ч;о;х;V;•Ћ’…’њ;V ipf praes sg indic - 2p
2223;14;делать;„…‹Ђ’њ;V ipf - - inf - -;;;ь;т;а;л;е;д;V;„…‹Ђ’њ;V ipf - - inf - -
2224;15;?;?;SENT;;;;;;;;;SENT;?;SENT
2225;;;;;;;;;;;;;;;
2226;1;ѓоворЯщий2;ѓЋ‚Ћђџ™€‰2;NONLEX;;;;й;и;щ;Я;р;NONLEX;ѓЋ‚Ћђџ™€‰2;NONLEX
2227;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2228;3;џ;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2229;4;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2230;5;хочу;•Ћ’…’њ;V ipf praes sg indic - 1p;;;у;ч;о;х;;;V;•Ћ’…’њ;V ipf praes sg indic - 1p
2231;6;давать;„Ђ‚Ђ’њ;V ipf - - inf - -;;;ь;т;а;в;а;д;V;„Ђ‚Ђ’њ;V ipf - - inf - -
2232;7;интервью;€Ќ’…ђ‚њћ;S n inan nonflex nonflex;;;ю;ь;в;р;е;т;S;€Ќ’…ђ‚њћ;S n inan nonflex nonflex
2233;8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2234;9;поэтому;ЏЋќ’ЋЊ“;ADV -;;;у;м;о;т;э;о;ADV;ЏЋќ’ЋЊ“;ADV -
2235;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2236;11;пожалуйста;ЏЋ†Ђ‹“‰‘’Ђ;PART;;;а;т;с;й;у;л;PART;ЏЋ†Ђ‹“‰‘’Ђ;PART
2237;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2238;13;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2239;14;задавайте;‡Ђ„Ђ‚Ђ’њ;V ipf - pl imper - 2p;;;е;т;й;а;в;а;V;‡Ђ„Ђ‚Ђ’њ;V ipf - pl imper - 2p
2240;15;мне;џ;SPRO sg 1p - loc;;;е;н;м;;;;SPRO;џ;SPRO sg 1p - loc
2241;16;никаких;Ќ€ЉЂЉЋ‰;A - gen pl plen - -;;;х;и;к;а;к;и;A;Ќ€ЉЂЉЋ‰;A - gen pl plen - -
2242;17;вопросов;‚ЋЏђЋ‘;S m inan gen pl;;;в;о;с;о;р;п;S;‚ЋЏђЋ‘;S m inan gen pl
2243;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2244;19;а то;а то;ZERO;раздельно;;о;т; ;а;;;ZERO;а то;ZERO
2245;20;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2246;21;сейчас;‘…‰—Ђ‘;ADV ;;;с;а;ч;й;е;с;ADV;‘…‰—Ђ‘;ADV -
2247;22;встану;‚‘’Ђ’њ;V pf fut sg indic - 1p;;;у;н;а;т;с;в;V;‚‘’Ђ’њ;V pf fut sg indic - 1p
2248;23;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2249;24;уйду;“‰’€;V pf fut sg indic - 1p;;;у;д;й;у;;;V;“‰’€;V pf fut sg indic - 1p
2250;25;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2251;26;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2252;27;,;,;SENT;;;;;;;;;SENT;,;SENT
2253;;;;;;;;;;;;;;;
2254;1;останетесь;Ћ‘’Ђ’њ‘џ;V pf fut pl indic - 2p;;;ь;с;е;т;е;н;V;Ћ‘’Ђ’њ‘џ;V pf fut pl indic - 2p
2255;2;вы;‚›;SPRO pl 2p - nom;;;ы;в;;;;;SPRO;‚›;SPRO pl 2p - nom
2256;3;без;Ѓ…‡;PR;;;з;е;б;;;;PR;Ѓ…‡;PR
2257;4;выполненного;‚›ЏЋ‹Ќ€’њ;PARTCP pf praet acc sg plen m pass anim;;;о;г;о;н;н;е;PARTCP;‚›ЏЋ‹Ќ€’њ;PARTCP pf praet acc sg plen m pass anim
2258;5;заданиЯ;‡Ђ„ЂЌ€…;S n inan gen sg;;;Я;и;н;а;д;а;S;‡Ђ„ЂЌ€…;S n inan gen sg
2259;6;,;,;SENT;;;;;;;;;SENT;,;SENT
2260;;;;;;;;;;;;;;;
2261;1;“;“;PR;;;у;;;;;;PR;“;PR
2262;2;менЯ;џ;SPRO sg 1p - acc;;;Я;н;е;м;;;SPRO;џ;SPRO sg 1p - acc
2263;3;сегоднЯ;‘…ѓЋ„Ќџ;ADV ;;;Я;н;д;о;г;е;ADV;‘…ѓЋ„Ќџ;ADV -
2264;4;порвалсЯ;ЏЋђ‚Ђ’њ‘џ;V pf praet sg indic m -;;;Я;с;л;а;в;р;V;ЏЋђ‚Ђ’њ‘џ;V pf praet sg indic m -
2265;5;чехол;—…•Ћ‹;S m inan acc sg;;;л;о;х;е;ч;;S;—…•Ћ‹;S m inan acc sg
2266;6;на;ЌЂ;PR;;;а;н;;;;;PR;ЌЂ;PR
2267;7;компьютере;ЉЋЊЏњћ’…ђ;S m inan loc sg;;;е;р;е;т;ю;ь;S;ЉЋЊЏњћ’…ђ;S m inan loc sg
2268;8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2269;9;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2270;10;с;‘;PR;;;с;;;;;;PR;‘;PR
2271;11;ужасом;“†Ђ‘;S m inan ins sg;;;м;о;с;а;ж;у;S;“†Ђ‘;S m inan ins sg
2272;12;узнал;“‡ЌЂ’њ;V pf praet sg indic m -;;;л;а;н;з;у;;V;“‡ЌЂ’њ;V pf praet sg indic m -
2273;13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2274;14;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ
2275;15;все;‚…‘њ;A - nom pl plen ;;;е;с;в;;;;A;‚…‘њ;A - nom pl plen - -
2276;16;эти;ќ’Ћ’;A - nom pl plen - -;;;и;т;э;;;;A;ќ’Ћ’;A - nom pl plen - -
2277;17;чехлы;—…•Ћ‹;S m inan nom pl;;;ы;л;х;е;ч;;S;—…•Ћ‹;S m inan nom pl
2278;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2279;19;которые;ЉЋ’Ћђ›‰;A - acc pl plen - inan;;;е;ы;р;о;т;о;A;ЉЋ’Ћђ›‰;A - acc pl plen - inan
2280;20;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2281;21;покупал;ЏЋЉ“ЏЂ’њ;V ipf praet sg indic m -;;;л;а;п;у;к;о;V;ЏЋЉ“ЏЂ’њ;V ipf praet sg indic m -
2282;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2283;23;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2284;24;переплачивал;Џ…ђ…Џ‹Ђ—€‚Ђ’њ;V ipf praet sg indic m -;;;л;а;в;и;ч;а;V;Џ…ђ…Џ‹Ђ—€‚Ђ’њ;V ipf praet sg indic m -
2285;25;за;‡Ђ;PR;;;а;з;;;;;PR;‡Ђ;PR
2286;26;,;,;SENT;;;;;;;;;SENT;,;SENT
2287;;;;;;;;;;;;;;;
2288;1;них;ЋЌ€;SPRO pl - - loc;;;х;и;н;;;;SPRO;ЋЌ€;SPRO pl - - loc
2289;2;ровно;ђЋ‚ЌЋ;ADV -;;;о;н;в;о;р;;ADV;ђЋ‚ЌЋ;ADV -
2290;3;в;‚;PR;;;в;;;;;;PR;‚;PR
2291;4;пЯть;Џџ’њ;NUM;;;ь;т;Я;п;;;NUM;Џџ’њ;NUM acc - -
2292;5;раз;ђЂ‡;S m inan acc sg;;;з;а;р;;;;S;ђЂ‡;S m inan acc sg
2293;6;,;,;SENT;;;;;;;;;SENT;,;SENT
2294;;;;;;;;;;;;;;;
2295;1;Њне;џ;SPRO sg 1p - loc;;;е;н;м;;;;SPRO;џ;SPRO sg 1p - loc
2296;2;опЯть;ЋЏџ’њ;ADV -;;;ь;т;Я;п;о;;ADV;ЋЏџ’њ;ADV -
2297;3;было;Ѓ›’њ;V ipf praet sg indic n -;;;о;л;ы;б;;;V;Ѓ›’њ;V ipf praet sg indic n -
2298;4;обидно;ЋЃ€„ЌЋ;ADV -;;;о;н;д;и;б;о;ADV;ЋЃ€„ЌЋ;ADV -
2299;5;:;:;PUNC;;;;;;;;;PUNC;:;PUNC
2300;6;во-первых;‚Ћ-Џ…ђ‚›•;PARENTH;;;х;ы;в;р;е;п;ADV;‚Ћ-Џ…ђ‚›•;ADV -
2301;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2302;8;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2303;9;11;‚›‘ЏЂ’њ‘џ;V pf praet sg indic m intr;;;Я;с;л;а;п;с;V;‚›‘ЏЂ’њ‘џ;V pf praet sg indic m -
2304;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2305;11;во-вторых;‚Ћ-‚’Ћђ›•;PARENTH;;;х;ы;р;о;т;в;ADV;‚Ћ-‚’Ћђ›•;ADV -
2306;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2307;13;оказываетсЯ;ЋЉЂ‡›‚Ђ’њ‘џ;V ipf praes sg indic - 3p;;;Я;с;т;е;а;в;V;ЋЉЂ‡›‚Ђ’њ‘џ;V ipf praes sg indic - 3p
2308;14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2309;15;всю;‚…‘њ;A - acc sg plen f -;;;ю;с;в;;;;A;‚…‘њ;A - acc sg plen f -
2310;16;жизнь;†€‡Ќњ;S f inan acc sg 3p;;;ь;н;з;и;ж;;S;†€‡Ќњ;S f inan acc sg
2311;17;переплачивал;Џ…ђ…Џ‹Ђ—€‚Ђ’њ;V ipf praet sg indic m1p;;;л;а;в;и;ч;а;V;Џ…ђ…Џ‹Ђ—€‚Ђ’њ;V ipf praet sg indic m -
2312;18;,;,;SENT;;;;;;;;;SENT;,;SENT
2313;;;;;;;;;;;;;;;
2314;1;Ђ;Ђ;CONJ;;;а;;;;;;CONJ;Ђ;CONJ
2315;2;если;…‘‹€;CONJ;;;и;л;с;е;;;CONJ;…‘‹€;CONJ
2316;3;заказать;‡ЂЉЂ‡Ђ’њ;V pf tran - inf - -;;;ь;т;а;з;а;к;V;‡ЂЉЂ‡Ђ’њ;V pf - - inf - -
2317;4;их;ЋЌ€;SPRO pl plen acc;;;х;и;;;;;SPRO;ЋЌ€;SPRO pl - - acc
2318;5;на;ЌЂ;PR;;;а;н;;;;;PR;ЌЂ;PR
2319;6;али;Ђ‹€;;слитно;;и;л;а;;;;CONJ;Ђ‹€;CONJ
2320;7;-;-;;слитно;;;;;;;;PUNC;-;PUNC
2321;8;экспресс;ќЉ‘Џђ…‘‘;;слитно;;с;с;е;р;п;с;S;ќЉ‘Џђ…‘‘;S m inan nom sg
2322;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2323;10;то;’Ћ;CONJ;;;о;т;;;;;CONJ;’Ћ;CONJ
2324;11;они;ЋЌ€;SPRO pl plen nom;;;и;н;о;;;;SPRO;ЋЌ€;SPRO pl - - nom
2325;12;абсолютно;ЂЃ‘Ћ‹ћ’ЌЋ;ADV -;;;о;н;т;ю;л;о;ADV;ЂЃ‘Ћ‹ћ’ЌЋ;ADV -
2326;13;такие;’ЂЉЋ‰;A - nom pl plen - nom;;;е;и;к;а;т;;A;’ЂЉЋ‰;A - nom pl plen - -
2327;14;же;†…;PART;;;е;ж;;;;;PART;†…;PART
2328;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2329;16;но;ЌЋ;CONJ;;;о;н;;;;;CONJ;ЌЋ;CONJ
2330;17;в;‚;PR;;;в;;;;;;PR;‚;PR
2331;18;пЯть;Џџ’њ;NUM;;;ь;т;Я;п;;;NUM;Џџ’њ;NUM acc - -
2332;19;раз;ђЂ‡;S m inan acc sg;;;з;а;р;;;;S;ђЂ‡;S m inan acc sg
2333;20;дешевле;„……‚Ћ;ADV comp;;;е;л;в;е;ш;е;ADV;„……‚Ћ;ADV comp
2334;21;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2335;22;будут;Ѓ›’њ;V ipf praes pl indic - 3p;;;т;у;д;у;б;;V;Ѓ›’њ;V ipf praes pl indic - 3p
2336;23;доставлены;„Ћ‘’Ђ‚€’њ;PARTCP pf praet - pl brev - pass -;;;ы;н;е;л;в;а;PARTCP;„Ћ‘’Ђ‚€’њ;PARTCP pf praet - pl brev - pass -
2337;24;через;—…ђ…‡;PR;;;з;е;р;е;ч;;PR;—…ђ…‡;PR
2338;25;две;„‚Ђ;NUM nom f -;;;е;в;д;;;;NUM;„‚Ђ;NUM nom f -
2339;26;недели;Ќ…„…‹џ;S f inan gen sg;;;и;л;е;д;е;н;S;Ќ…„…‹џ;S f inan gen sg
2340;27;,;,;SENT;;;;;;;;;SENT;,;SENT
2341;;;;;;;;;;;;;;;
2342;1;‚от;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART
2343;2;такое;’ЂЉЋ‰;A - nom sg plen n -;;;е;о;к;а;т;;A;’ЂЉЋ‰;A - nom sg plen n -
2344;3;открытие;Ћ’Љђ›’€…;S n inan nom sg;;;е;и;т;ы;р;к;S;Ћ’Љђ›’€…;S n inan nom sg
2345;4;,;,;SENT;;;;;;;;;SENT;,;SENT
2346;;;;;;;;;;;;;;;
2347;1;Ђ;Ђ;CONJ;;;а;;;;;;CONJ;Ђ;CONJ
2348;2;ещЮ;…™…;ADV -;;;Ю;щ;е;;;;ADV;…™…;ADV -
2349;3;сегоднЯ;‘…ѓЋ„Ќџ;ADV -;;;Я;н;д;о;г;е;ADV;‘…ѓЋ„Ќџ;ADV -
2350;4;у;“;PR;;;у;;;;;;PR;“;PR
2351;5;нас;Њ›;SPRO pl 1p - loc;;;с;а;н;;;;SPRO;Њ›;SPRO pl 1p - loc
2352;6;во;‚Ћ;PR;;;о;в;;;;;PR;‚Ћ;PR
2353;7;дворе;„‚Ћђ;S m inan loc sg;;;е;р;о;в;д;;S;„‚Ћђ;S m inan loc sg
2354;8;столбики;‘’Ћ‹Ѓ€Љ;S m inan acc pl;;;и;к;и;б;л;о;S;‘’Ћ‹Ѓ€Љ;S m inan acc pl
2355;9;стали;‘’Ђ‹њ;S f inan loc sg;;;и;л;а;т;с;;S;‘’Ђ‹њ;S f inan loc sg
2356;10;вкапывать;‚ЉЂЏ›‚Ђ’њ;V ipf - - inf - -;;;ь;т;а;в;ы;п;V;‚ЉЂЏ›‚Ђ’њ;V ipf - - inf - -
2357;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2358;12;отгораживаЯ;Ћ’ѓЋђЂ†€‚Ђ’њ;V ipf praes - ger - -;;;Я;а;в;и;ж;а;V;Ћ’ѓЋђЂ†€‚Ђ’њ;V ipf praes - ger - -
2359;13;тротуар;’ђЋ’“Ђђ;S m inan acc sg;;;р;а;у;т;о;р;S;’ђЋ’“Ђђ;S m inan acc sg
2360;14;от;Ћ’;PR;;;т;о;;;;;PR;Ћ’;PR
2361;15;дороги;„ЋђЋѓЂ;S f inan gen sg;;;и;г;о;р;о;д;S;„ЋђЋѓЂ;S f inan gen sg
2362;16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2363;17;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2364;18;машину;ЊЂ€ЌЂ;S f inan acc sg;;;у;н;и;ш;а;м;S;ЊЂ€ЌЂ;S f inan acc sg
2365;19;будет;Ѓ›’њ;V ipf praes sg indic - 3p;;;т;е;д;у;б;;V;Ѓ›’њ;V ipf praes sg indic - 3p
2366;20;ставить;‘’Ђ‚€’њ;V ipf - - inf - -;;;ь;т;и;в;а;т;V;‘’Ђ‚€’њ;V ipf - - inf - -
2367;21;негде;Ќ…ѓ„…;ADV -;;;е;д;г;е;н;;ADV;Ќ…ѓ„…;ADV -
2368;22;,;,;SENT;;;;;;;;;SENT;,;SENT
2369;;;;;;;;;;;;;;;
2370;1;€;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2371;2;есть;Ѓ›’њ;V ipf praes sg indic - 3p;;;ь;т;с;е;;;V;Ѓ›’њ;V ipf praes sg indic - 3p
2372;3;предположение;Џђ…„ЏЋ‹Ћ†…Ќ€…;S n inan nom sg;;;е;и;н;е;ж;о;S;Џђ…„ЏЋ‹Ћ†…Ќ€…;S n inan nom sg
2373;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2374;5;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ
2375;6;следующим;‘‹…„“ћ™€‰;A - ins sg plen m -;;;м;и;щ;ю;у;д;A;‘‹…„“ћ™€‰;A - ins sg plen m -
2376;7;шагом;Ђѓ;S m inan ins sg;;;м;о;г;а;ш;;S;Ђѓ;S m inan ins sg
2377;8;поставЯт;ЏЋ‘’Ђ‚€’њ;V pf fut pl indic tran 3p;;;т;Я;в;а;т;с;V;ЏЋ‘’Ђ‚€’њ;V pf fut pl indic - 3p
2378;9;знаки;‡ЌЂЉ;S m inan nom pl;;;и;к;а;н;з;;S;‡ЌЂЉ;S m inan nom pl
2379;10;запрета;‡ЂЏђ…’;S m inan gen sg;;;а;т;е;р;п;а;S;‡ЂЏђ…’;S m inan gen sg
2380;11;парковки;ЏЂђЉЋ‚ЉЂ;S f inan gen sg;;;и;к;в;о;к;р;S;ЏЂђЉЋ‚ЉЂ;S f inan gen sg
2381;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2382;13;там;’ЂЊ;ADV -;;;м;а;т;;;;ADV;’ЂЊ;ADV -
2383;14;где;ѓ„…;ADV -;;;е;д;г;;;;ADV;ѓ„…;ADV -
2384;15;ещЮ;…™…;ADV -;;;Ю;щ;е;;;;ADV;…™…;ADV -
2385;16;в;‚;PR;;;в;;;;;;PR;‚;PR
2386;17;нашем;ЌЂ;A - loc sg plen m -;;;м;е;ш;а;н;;A;ЌЂ;A - loc sg plen m -
2387;18;районе;ђЂ‰ЋЌ;S m inan loc sg;;;е;н;о;й;а;р;S;ђЂ‰ЋЌ;S m inan loc sg
2388;19;их;ЋЌ€;SPRO pl plen acc;;;х;и;;;;;SPRO;ЋЌ€;SPRO pl - - acc
2389;20;ставить;‘’Ђ‚€’њ;V ipf tran - inf - -;;;ь;т;и;в;а;т;V;‘’Ђ‚€’њ;V ipf - - inf - -
2390;21;,;,;SENT;;;;;;;;;SENT;,;SENT
2391;;;;;;;;;;;;;;;
2392;1;разрешено;ђЂ‡ђ…€’њ;PARTCP pf praet - sg brev n pass -;;;о;н;е;ш;е;р;PARTCP;ђЂ‡ђ…€’њ;PARTCP pf praet - sg brev n pass -
2393;2;или;€‹€;CONJ;;;и;л;и;;;;CONJ;€‹€;CONJ
2394;3;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2395;4;запрещено;‡ЂЏђ…’€’њ;PARTCP pf praet - sg brev n pass -;;;о;н;е;щ;е;р;PARTCP;‡ЂЏђ…’€’њ;PARTCP pf praet - sg brev n pass -
2396;5;,;,;SENT;;;;;;;;;SENT;,;SENT
2397;;;;;;;;;;;;;;;
2398;1;’ак что;’ак что;ZERO;раздельно;;о;т;ч; ;к;а;ZERO;’ак что;ZERO
2399;2;всех;‚‘…;S plen loc pl;;;х;е;с;в;;;S;‚‘…;S - - loc pl
2400;3;побуждают;ЏЋЃ“†„Ђ’њ;V ipf praes pl indic intr 3p;;;т;ю;а;д;ж;у;V;ЏЋЃ“†„Ђ’њ;V ipf praes pl indic - 3p
2401;4;пересаживатьсЯ;Џ…ђ…‘Ђ†€‚Ђ’њ‘џ;V ipf - - inf - -;;;Я;с;ь;т;а;в;V;Џ…ђ…‘Ђ†€‚Ђ’њ‘џ;V ipf - - inf - -
2402;5;на;ЌЂ;PR;;;а;н;;;;;PR;ЌЂ;PR
2403;6;общественный;ЋЃ™…‘’‚…ЌЌ›‰;A - acc sg plen m inan;;;й;ы;н;н;е;в;A;ЋЃ™…‘’‚…ЌЌ›‰;A - acc sg plen m inan
2404;7;транспорт;’ђЂЌ‘ЏЋђ’;S m inan acc sg;;;т;р;о;п;с;н;S;’ђЂЌ‘ЏЋђ’;S m inan acc sg
2405;8;,;,;SENT;;;;;;;;;SENT;,;SENT
2406;;;;;;;;;;;;;;;
2407;1;Й;Й;PUNC;;;;;;;;;PUNC;Й;PUNC
2408;2;Ќаверно;ЌЂ‚…ђЌЋ;PARENTH;;;о;н;р;е;в;а;ADV;ЌЂ‚…ђЌЋ;ADV -
2409;3;,;,;SENT;;;;;;;;;SENT;,;SENT
2410;;;;;;;;;;;;;;;
2411;1;‘колько;‘ЉЋ‹њЉЋ;CONJ;;;о;к;ь;л;о;к;CONJ;‘ЉЋ‹њЉЋ;CONJ
2412;2;там;’ЂЊ;ADV -;;;м;а;т;;;;ADV;’ЂЊ;ADV -
2413;3;времени;‚ђ…Њџ;S n inan gen sg;;;и;н;е;м;е;р;S;‚ђ…Њџ;S n inan gen sg
2414;4;уже;“†…;ADV -;;;е;ж;у;;;;ADV;“†…;ADV -
2415;5;?;?;SENT;;;;;;;;;SENT;?;SENT
2416;;;;;;;;;;;;;;;
2417;1;Й;Й;PUNC;;;;;;;;;PUNC;Й;PUNC
2418;2;Ћсталось;Ћ‘’Ђ’њ‘џ;V pf praet sg indic n -;;;ь;с;о;л;а;т;V;Ћ‘’Ђ’њ‘џ;V pf praet sg indic n -
2419;3;поболтать;ЏЋЃЋ‹’Ђ’њ;V pf - - inf - -;;;ь;т;а;т;л;о;V;ЏЋЃЋ‹’Ђ’њ;V pf - - inf - -
2420;4;ещЮ;…™…;ADV -;;;Ю;щ;е;;;;ADV;…™…;ADV -
2421;5;одну;Ћ„€Ќ;S - acc sg inan f -;;;у;н;д;о;;;A;Ћ„€Ќ;A - acc sg plen f -
2422;6;минуту;Њ€Ќ“’Ђ;S f inan acc sg;;;у;т;у;н;и;м;S;Њ€Ќ“’Ђ;S f inan acc sg
2423;7;,;,;SENT;;;;;;;;;SENT;,;SENT
2424;;;;;;;;;;;;;;;
2425;1;Ќу;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART
2426;2;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2427;3;знаю;‡ЌЂ’њ;V ipf praes sg indic - 1p;;;ю;а;н;з;;;V;‡ЌЂ’њ;V ipf praes sg indic - 1p
2428;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2429;5;руками;ђ“ЉЂ;S f inan ins pl;;;и;м;а;к;у;р;S;ђ“ЉЂ;S f inan ins pl
2430;6;у;“;PR;;;у;;;;;;PR;“;PR
2431;7;менЯ;џ;SPRO sg 1p - acc;;;Я;н;е;м;;;SPRO;џ;SPRO sg 1p - acc
2432;8;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2433;9;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
2434;10;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
2435;11;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
2436;12;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
2437;13;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
2438;14;Х;Х;PUNC;;;;;;;;;PUNC;Х;PUNC
2439;15;чЮ;—…;distort;слитно;;Ю;ч;;;;;S;—…;S n - nonflex nonflex
2440;16;-;-;PUNC;слитно;;;;;;;;PUNC;-;PUNC
2441;17;то;’Ћ;distort;слитно;;о;т;;;;;CONJ;’Ћ;CONJ
2442;18;Х;Х;PUNC;;;;;;;;;PUNC;Х;PUNC
2443;19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2444;20;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
2445;21;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
2446;22;что-то;—’Ћ-’Ћ;SPRO nom sg ;;;о;т;;о;т;ч;S;—’Ћ-’Ћ;S n inan nom sg
2447;23;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2448;24;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
2449;25;";";";";SENT;;;;;;;;;SENT;";";SENT
2450;;;;;;;;;;;;;;;
2451;1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2452;2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
2453;3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2454;4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
2455;5;";";";";SENT;;;;;;;;;SENT;";";SENT
2456;;;;;;;;;;;;;;;
2457;1;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2458;2;махалось;ЊЂ•Ђ’њ‘џ;V ipf praet sg indic n -;;;ь;с;о;л;а;х;V;ЊЂ•Ђ’њ‘џ;V ipf praet sg indic n -
2459;3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2460;4;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2461;5;крутил;Љђ“’€’њ;V ipf praet sg indic m -tran;;;л;и;т;у;р;к;V;Љђ“’€’њ;V ipf praet sg indic m -
2462;6;головой;ѓЋ‹Ћ‚Ђ;S f inan ins sg;;;й;о;в;о;л;о;S;ѓЋ‹Ћ‚Ђ;S f inan ins sg
2463;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2464;8;смотрел;‘ЊЋ’ђ…’њ;V ipf praet sg indic m intr;;;л;е;р;т;о;м;V;‘ЊЋ’ђ…’њ;V ipf praet sg indic m -
2465;9;в;‚;PR;;;в;;;;;;PR;‚;PR
2466;10;разные;ђЂ‡Ќ›‰;A - acc pl plen - inan;;;е;ы;н;з;а;р;A;ђЂ‡Ќ›‰;A - acc pl plen - inan
2467;11;,;,;SENT;;;;;;;;;SENT;,;SENT
2468;;;;;;;;;;;;;;;
2469;1;стороны;‘’ЋђЋЌЂ;S f inan gen sg;;;ы;н;о;р;о;т;S;‘’ЋђЋЌЂ;S f inan gen sg
2470;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2471;3;может;ЊЋ—њ;PARENTH;слитно;;т;е;ж;о;м;;V;ЊЋ—њ;V ipf praes sg indic - 3p
2472;4;быть;Ѓ›’њ;PARENTH;слитно;;ь;т;ы;б;;;V;Ѓ›’њ;V ipf - - inf - -
2473;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2474;6;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2475;7;вообще;‚ЋЋЃ™…;ADV -;;;е;щ;б;о;о;в;ADV;‚ЋЋЃ™…;ADV -
2476;8;никогда;Ќ€ЉЋѓ„Ђ;ADV -;;;а;д;г;о;к;и;ADV;Ќ€ЉЋѓ„Ђ;ADV -
2477;9;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
